birthYear,birthDate,deathYear,deathCause_label,profession
1805-01-01T00:00:00+02:00,1805-01-01T00:00:00+02:00,1881-01-01T00:00:00+02:00,pneumonia,Prominent New York contractor and bondsman during the mid-to late 19th century; involved in a dispute with Daniel D. Conover over the position of NYC street commissioner resulting in the Police Riot of 1857.
1809-01-01T00:00:00+02:00,1809-09-05,1866-01-01T00:00:00+02:00,cardiovascular_problems,German actor
1838-01-01T00:00:00+02:00,1838-02-06,1905-01-01T00:00:00+02:00,cerebral_problems,Actor
1858-01-01T00:00:00+02:00,1858-03-30,1935-01-01T00:00:00+02:00,cardiovascular_problems,American actor
1860-01-01T00:00:00+02:00,1860-01-17,1952-01-01T00:00:00+02:00,cardiovascular_problems,Actor director screenwriter
1865-01-01T00:00:00+02:00,1865-12-29,1940-01-01T00:00:00+02:00,cerebral_problems,Actor
1866-01-01T00:00:00+02:00,1866-08-30,1947-01-01T00:00:00+02:00,cardiovascular_problems,English actor
1867-01-01T00:00:00+02:00,1867-07-13,1952-01-01T00:00:00+02:00,cardiovascular_problems,Actor
1870-01-01T00:00:00+02:00,1870-11-12,1952-01-01T00:00:00+02:00,cardiovascular_problems,Actor producer screenwriter
1870-01-01T00:00:00+02:00,1870-05-21,1944-01-01T00:00:00+02:00,cardiovascular_problems,Actor
1872-01-01T00:00:00+02:00,1872-01-17,1959-01-01T00:00:00+02:00,pneumonia,American actor
1874-01-01T00:00:00+02:00,1874-10-05,1961-01-01T00:00:00+02:00,cardiovascular_problems,Actor director
1875-01-01T00:00:00+02:00,1875-06-06,1952-01-01T00:00:00+02:00,natural_death,Actor & Director
1875-01-01T00:00:00+02:00,1875-10-26,1958-01-01T00:00:00+02:00,cardiovascular_problems,Actor
{1875-01-01T00:00:00+02:00|1877-01-01T00:00:00+02:00},{1875-09-26|1877-09-26},1959-01-01T00:00:00+02:00,pneumonia,Actor
1875-01-01T00:00:00+02:00,1875-04-04,1948-01-01T00:00:00+02:00,pneumonia,Actor
1878-01-01T00:00:00+02:00,1878-07-17,1947-01-01T00:00:00+02:00,pneumonia,American actor
1878-01-01T00:00:00+02:00,1878-04-28,1954-01-01T00:00:00+02:00,cardiovascular_problems,Actor director screenwriter
1878-01-01T00:00:00+02:00,1878-03-29,1940-01-01T00:00:00+02:00,other_respiratory_problems,Comedian and film actor
1879-01-01T00:00:00+02:00,{1879-07-25|1879-07-28},1947-01-01T00:00:00+02:00,accidents_murder_and_war,Actor director
1879-01-01T00:00:00+02:00,1879-08-28,1940-01-01T00:00:00+02:00,cardiovascular_problems,British actor
1879-01-01T00:00:00+02:00,1879-09-06,1936-01-01T00:00:00+02:00,cardiovascular_problems,German actor
{1880-01-01T00:00:00+02:00|1881-01-01T00:00:00+02:00},{1880-01-01T00:00:00+02:00|1881-12-14},1942-01-01T00:00:00+02:00,cerebral_problems,American actor screenwriter and film director
