birthYear,birthDate,deathYear,deathCause_label,profession
1826-01-01T00:00:00+02:00,1826-07-20,1873-01-01T00:00:00+02:00,other_diseases,Actress and manager
1830-01-01T00:00:00+02:00,1830-07-22,1868-01-01T00:00:00+02:00,accidents_murder_and_war,American actress
1859-01-01T00:00:00+02:00,1859-10-23,1892-01-01T00:00:00+02:00,pneumonia,Stage actress
1863-01-01T00:00:00+02:00,1863-10-10,1933-01-01T00:00:00+02:00,other_diseases,Actress
1868-01-01T00:00:00+02:00,1868-09-13,1960-01-01T00:00:00+02:00,natural_death,Film and stage actress
1872-01-01T00:00:00+02:00,{1872-11-07|1872-11-08},1945-01-01T00:00:00+02:00,cancer,Actress
1879-01-01T00:00:00+02:00,1879-10-15,1967-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1879-01-01T00:00:00+02:00,{1879-05-22|1879-06-03},1945-01-01T00:00:00+02:00,other_diseases,Actress screenwriter and producer
1879-01-01T00:00:00+02:00,1879-05-31,1960-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1883-01-01T00:00:00+02:00,1883-06-20,1971-01-01T00:00:00+02:00,other_diseases,Silent film actress screenwriter producer
1883-01-01T00:00:00+02:00,1883-02-22,1940-01-01T00:00:00+02:00,pneumonia,Actress
1885-01-01T00:00:00+02:00,1885-07-29,1955-01-01T00:00:00+02:00,cancer,Silent film actress
1886-01-01T00:00:00+02:00,1886-10-17,1971-01-01T00:00:00+02:00,cancer,American actress
1887-01-01T00:00:00+02:00,1887-04-26,1958-01-01T00:00:00+02:00,cerebral_problems,Actress
1888-01-01T00:00:00+02:00,1888-07-16,1987-01-01T00:00:00+02:00,cerebral_problems,Actress and socialite
1888-01-01T00:00:00+02:00,1888-04-15,1954-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1888-01-01T00:00:00+02:00,1888-04-27,1917-01-01T00:00:00+02:00,accidents_murder_and_war,Actress
1889-01-01T00:00:00+02:00,1889-03-04,1938-01-01T00:00:00+02:00,other_diseases,Actress
1890-01-01T00:00:00+02:00,1890-05-02,1966-01-01T00:00:00+02:00,pneumonia,Actress gossip columnist radio personality
1890-01-01T00:00:00+02:00,1890-07-27,1976-01-01T00:00:00+02:00,cardiovascular_problems,American stage and film actress
1890-01-01T00:00:00+02:00,1890-07-20,{0014-01-01T00:00:00+02:00|1966-01-01T00:00:00+02:00},cerebral_problems,American character actress
1891-01-01T00:00:00+02:00,1891-06-18,1946-01-01T00:00:00+02:00,cancer,Actress
1891-01-01T00:00:00+02:00,1891-07-07,1921-01-01T00:00:00+02:00,other_diseases,Silent film actress model
1891-01-01T00:00:00+02:00,1891-07-07,1921-01-01T00:00:00+02:00,other_diseases,Silent film actress model
{1892-01-01T00:00:00+02:00|1893-01-01T00:00:00+02:00},{1892-11-09|1893-11-09},1930-01-01T00:00:00+02:00,other_diseases,Silent film actress
1892-01-01T00:00:00+02:00,1892-01-26,1978-01-01T00:00:00+02:00,cancer,Actress
1892-01-01T00:00:00+02:00,1892-04-08,1973-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1892-01-01T00:00:00+02:00,1892-04-08,1979-01-01T00:00:00+02:00,cerebral_problems,Actress
1893-01-01T00:00:00+02:00,1893-05-26,1957-01-01T00:00:00+02:00,cancer,Actress artists' model and dancer
{1893-01-01T00:00:00+02:00|1895-01-01T00:00:00+02:00},{1893-06-09|1895-06-09},1936-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1893-01-01T00:00:00+02:00,1893-12-07,1968-01-01T00:00:00+02:00,pneumonia,Actress
1894-01-01T00:00:00+02:00,1894-09-22,1966-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1894-01-01T00:00:00+02:00,1894-10-20,1920-01-01T00:00:00+02:00,other_diseases,Silent film actress model
1894-01-01T00:00:00+02:00,1894-03-05,1950-01-01T00:00:00+02:00,cancer,Actress
1894-01-01T00:00:00+02:00,1894-04-03,1974-01-01T00:00:00+02:00,other_diseases,Actress
1894-01-01T00:00:00+02:00,{1894-05-02|1894-05-26},1957-01-01T00:00:00+02:00,pneumonia,Actress producer
1895-01-01T00:00:00+02:00,1895-07-26,1964-01-01T00:00:00+02:00,cardiovascular_problems,Actress comedienne
1895-01-01T00:00:00+02:00,1895-10-21,1958-01-01T00:00:00+02:00,cancer,Actress
1895-01-01T00:00:00+02:00,1895-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,accidents_murder_and_war,Actress model
1896-01-01T00:00:00+02:00,1896-07-28,1926-01-01T00:00:00+02:00,other_diseases,Actress screenwriter
1896-01-01T00:00:00+02:00,1896-07-28,1926-01-01T00:00:00+02:00,other_diseases,Actress screenwriter
1896-01-01T00:00:00+02:00,1896-12-31,1987-01-01T00:00:00+02:00,pneumonia,Actress author singer
1896-01-01T00:00:00+02:00,1896-06-18,1986-01-01T00:00:00+02:00,cerebral_problems,Actress
1897-01-01T00:00:00+02:00,1897-01-03,1961-01-01T00:00:00+02:00,cancer,Actress producer screenwriter
