birthYear,birthDate,deathYear,deathCause_label,profession
0626-01-01T00:00:00+02:00,{0626-01-01T00:00:00+02:00|0626-01-10},0680-01-01T00:00:00+02:00,{Shahid|Decapitation},Muslim martyr
0659-01-01T00:00:00+02:00,{0659-01-01T00:00:00+02:00|0659-01-04},{0712-01-01T00:00:00+02:00|0713-01-01T00:00:00+02:00},Poison,Shi'a Imam
0676-01-01T00:00:00+02:00,0676-01-01T00:00:00+02:00,{0733-01-01T00:00:00+02:00|0743-01-01T00:00:00+02:00},Poison,Twelver imam
0682-01-01T00:00:00+02:00,{0682-01-01T00:00:00+02:00|0682-07-20},0767-01-01T00:00:00+02:00,Smallpox,Japanese Buddhist monk
0702-01-01T00:00:00+02:00,{0702-01-01T00:00:00+02:00|0702-04-23},0765-01-01T00:00:00+02:00,Poison,Muslim religious person
{0745-01-01T00:00:00+02:00|0746-01-01T00:00:00+02:00},{0745-11-10|0746-01-01T00:00:00+02:00},0799-01-01T00:00:00+02:00,Poison,Seventh of the Twelve Imams and regarded by Sunnis as a renowned scholar
{0765-01-01T00:00:00+02:00|0766-01-01T00:00:00+02:00},{0765-01-01T00:00:00+02:00|0766-01-01},{0818-01-01T00:00:00+02:00|0819-01-01T00:00:00+02:00},Poison,Shia Imam
0811-01-01T00:00:00+02:00,{0811-01-01T00:00:00+02:00|0811-04-12},0835-01-01T00:00:00+02:00,Poison,Imam
{0828-01-01T00:00:00+02:00|0829-01-01T00:00:00+02:00},{0828-01-01T00:00:00+02:00|0829-09-08},0868-01-01T00:00:00+02:00,Poison,Imam
0846-01-01T00:00:00+02:00,{0846-01-01T00:00:00+02:00|0846-12-06},0874-01-01T00:00:00+02:00,Poison,Eleventh of the Twelve Imams
1301-01-01T00:00:00+02:00,1301-01-01T00:00:00+02:00,1344-01-01T00:00:00+02:00,Tournament (medieval),14th-century English magnate
1415-01-01T00:00:00+02:00,1415-01-01T00:00:00+02:00,1480-01-01T00:00:00+02:00,Battle of Bloody Bay,Scottish clan chief
1432-01-01T00:00:00+02:00,1432-01-01T00:00:00+02:00,1494-01-01T00:00:00+02:00,Stroke,Hungarian general
1438-01-01T00:00:00+02:00,1438-01-01T00:00:00+02:00,1482-01-01T00:00:00+02:00,William I de La Marck,Roman Catholic bishop
1476-01-01T00:00:00+02:00,1476-01-01T00:00:00+02:00,1526-01-01T00:00:00+02:00,Malnutrition,Spanish explorer
1504-01-01T00:00:00+02:00,1504-01-01T00:00:00+02:00,1553-01-01T00:00:00+02:00,Decapitation,English courtier
1517-01-01T00:00:00+02:00,1517-01-01T00:00:00+02:00,1579-01-01T00:00:00+02:00,Hanging,German civil servant
1532-01-01T00:00:00+02:00,1532-06-07,1560-01-01T00:00:00+02:00,Cervical fracture,wife of Robert Dudley 1st Earl of Leicester
1535-01-01T00:00:00+02:00,1535-01-01T00:00:00+02:00,{1553-01-01T00:00:00+02:00|1554-01-01T00:00:00+02:00},Decapitation,English royal consort (disputed)
1550-01-01T00:00:00+02:00,1550-01-01T00:00:00+02:00,1605-01-01T00:00:00+02:00,Murder,British explorer
{1550-01-01T00:00:00+02:00|1555-01-01T00:00:00+02:00},1550-01-01T00:00:00+02:00,1601-01-01T00:00:00+02:00,Decapitation,English military officer and rebel
1576-01-01T00:00:00+02:00,1576-01-05,1615-01-01T00:00:00+02:00,Hanging,English murderer
1581-01-01T00:00:00+02:00,1581-01-01T00:00:00+02:00,1613-01-01T00:00:00+02:00,Poison,English poet
1582-01-01T00:00:00+02:00,1582-01-01T00:00:00+02:00,1624-01-01T00:00:00+02:00,{Scurvy|Dysentery},Dutch admiral and explorer
1591-01-01T00:00:00+02:00,1591-01-01T00:00:00+02:00,1626-01-01T00:00:00+02:00,Bubonic plague,Dutch model
1592-01-01T00:00:00+02:00,1592-04-11,1632-01-01T00:00:00+02:00,Tuberculosis,Member of Parliament Statesman Vice-Admiral of Devon
1607-01-01T00:00:00+02:00,1607-11-26,1638-01-01T00:00:00+02:00,Tuberculosis,English-American clergyman and philanthropist
1610-01-01T00:00:00+02:00,1610-01-01T00:00:00+02:00,1670-01-01T00:00:00+02:00,Death by burning,Alleged witch
1611-01-01T00:00:00+02:00,1611-01-01T00:00:00+02:00,1660-01-01T00:00:00+02:00,Hanging,Quaker martyr
1614-01-01T00:00:00+02:00,1614-09-20,1661-01-01T00:00:00+02:00,Cholera,Italian missionary cartographer and historian
1616-01-01T00:00:00+02:00,{1616-01-01T00:00:00+02:00|1616-04-10},1633-01-01T00:00:00+02:00,Cancer,Tallest female
1619-01-01T00:00:00+02:00,1619-12-13,1661-01-01T00:00:00+02:00,Capital punishment,Lemko bandit
1633-01-01T00:00:00+02:00,{1633-05-04|1633-05-15},1707-01-01T00:00:00+02:00,Pulmonary embolism,French noble
{1640-01-01T00:00:00+02:00|1647-01-01T00:00:00+02:00},{1640-01-01T00:00:00+02:00|1647-01-15},1676-01-01T00:00:00+02:00,Dysentery,Colonist leader of Bacon's Rebellion
1647-01-01T00:00:00+02:00,1647-04-01,1680-01-01T00:00:00+02:00,Syphilis,English noble poet and libertine
1653-01-01T00:00:00+02:00,1653-07-21,1692-01-01T00:00:00+02:00,Capital punishment,Woman convicted and executed in Salem witch trials
1661-01-01T00:00:00+02:00,1661-01-01T00:00:00+02:00,1755-01-01T00:00:00+02:00,Lead poisoning,Lighthouse keeper
1679-01-01T00:00:00+02:00,1679-01-01T00:00:00+02:00,1933-01-01T00:00:00+02:00,Death by natural causes,Chinese martial artist
1690-01-01T00:00:00+02:00,1690-01-01T00:00:00+02:00,1735-01-01T00:00:00+02:00,Drowning,American politician
1704-01-01T00:00:00+02:00,1704-02-28,1730-01-01T00:00:00+02:00,Frederick William I of Prussia,Prussian army officer
1718-01-01T00:00:00+02:00,1718-11-28,1763-01-01T00:00:00+02:00,{Cancer|Suicide},Swedish poet and salon hostess
1725-01-01T00:00:00+02:00,1725-12-11,1792-01-01T00:00:00+02:00,Death by natural causes,Virginia politician
1728-01-01T00:00:00+02:00,1728-01-01T00:00:00+02:00,1808-01-01T00:00:00+02:00,Diabetes mellitus,English industrialist
1729-01-01T00:00:00+02:00,1729-06-18,1818-01-01T00:00:00+02:00,Apoplexy,French military officer
1733-01-01T00:00:00+02:00,1733-01-01T00:00:00+02:00,1773-01-01T00:00:00+02:00,Hanging,Jamaican serial killer
1734-01-01T00:00:00+02:00,1734-02-18,1793-01-01T00:00:00+02:00,Suicide,French viscount and politician
1736-01-01T00:00:00+02:00,1736-02-22,1790-01-01T00:00:00+02:00,Tuberculosis,President of Wueen's College(now Rutgers University)
1741-01-01T00:00:00+02:00,1741-01-20,1783-01-01T00:00:00+02:00,Jaundice,Swedish botanist
1742-01-01T00:00:00+02:00,1742-12-06,1806-01-01T00:00:00+02:00,Suicide,French chemist
1749-01-01T00:00:00+02:00,1749-06-19,1796-01-01T00:00:00+02:00,Yellow fever,French actor and writer
1750-01-01T00:00:00+02:00,1750-01-01T00:00:00+02:00,1804-01-01T00:00:00+02:00,Pneumonia,Canadian businessman entrepreneur
1752-01-01T00:00:00+02:00,1752-08-21,1794-01-01T00:00:00+02:00,Suicide,French priest
1753-01-01T00:00:00+02:00,1753-05-31,1793-01-01T00:00:00+02:00,Guillotine,French politician
1753-01-01T00:00:00+02:00,1753-07-27,1815-01-01T00:00:00+02:00,Pneumonitis,Continental Army surgeon
1754-01-01T00:00:00+02:00,1754-03-17,1793-01-01T00:00:00+02:00,Guillotine,French revolutionary
1754-01-01T00:00:00+02:00,1754-06-18,1817-01-01T00:00:00+02:00,Breast cancer,Swedish writer
1755-01-01T00:00:00+02:00,1755-04-11,1824-01-01T00:00:00+02:00,Stroke,British surgeon
1761-01-01T00:00:00+02:00,1761-01-01T00:00:00+02:00,1827-01-01T00:00:00+02:00,Drowning,Wisconsin pioneer and U.S. Indian Agent
1762-01-01T00:00:00+02:00,{1762-04-21|1762-08-21},1841-01-01T00:00:00+02:00,Pneumonia,Protestant Episcopal clergyman in the United States
1764-01-01T00:00:00+02:00,1764-01-01T00:00:00+02:00,1820-01-01T00:00:00+02:00,Bright's disease,Canadian politician
1764-01-01T00:00:00+02:00,1764-02-01,1805-01-01T00:00:00+02:00,Killed in action,Royal Navy officer
1764-01-01T00:00:00+02:00,1764-09-17,1809-01-01T00:00:00+02:00,Killed in action,Polish army commander
1765-01-01T00:00:00+02:00,1765-04-26,1815-01-01T00:00:00+02:00,Liver failure,Mistress of Lord Nelson
