birthYear,birthDate,deathYear,deathCause_label,profession
1750-01-01T00:00:00+02:00,1750-01-01T00:00:00+02:00,1804-01-01T00:00:00+02:00,pneumonia,Canadian businessman entrepreneur
1783-01-01T00:00:00+02:00,1783-01-01T00:00:00+02:00,1845-01-01T00:00:00+02:00,accidents_murder_and_war,Illinois pioneer landowner and businessman
1792-01-01T00:00:00+02:00,1792-06-08,1859-01-01T00:00:00+02:00,other_diseases,American businessman
1807-01-01T00:00:00+02:00,{1807-01-01T00:00:00+02:00|1807-01-03},1896-01-01T00:00:00+02:00,natural_death,businessman
1815-01-01T00:00:00+02:00,1815-01-27,1891-01-01T00:00:00+02:00,cerebral_problems,American businessperson
1816-01-01T00:00:00+02:00,1816-11-06,1901-01-01T00:00:00+02:00,cerebral_problems,American businessman
1817-01-01T00:00:00+02:00,1817-07-14,1869-01-01T00:00:00+02:00,other_diseases,American businessman
1821-01-01T00:00:00+02:00,1821-02-21,1871-01-01T00:00:00+02:00,other_diseases,American businessman
1824-01-01T00:00:00+02:00,1824-11-03,1859-01-01T00:00:00+02:00,pneumonia,American businessman
1826-01-01T00:00:00+02:00,1826-12-22,1897-01-01T00:00:00+02:00,cerebral_problems,Merchant investor
1829-01-01T00:00:00+02:00,1829-07-12,1892-01-01T00:00:00+02:00,cerebral_problems,American businessman yachtsman and racehorse owner/breeder
1834-01-01T00:00:00+02:00,1834-01-01T00:00:00+02:00,1907-01-01T00:00:00+02:00,pneumonia,Irish-Canadian businessman
1834-01-01T00:00:00+02:00,1834-11-21,1916-01-01T00:00:00+02:00,cerebral_problems,American business woman
1835-01-01T00:00:00+02:00,1835-08-11,1891-01-01T00:00:00+02:00,other_diseases,American businessman
1835-01-01T00:00:00+02:00,1835-11-25,1919-01-01T00:00:00+02:00,other_respiratory_problems,American businessman and philanthropist
1836-01-01T00:00:00+02:00,1836-01-01T00:00:00+02:00,1895-01-01T00:00:00+02:00,cerebral_problems,American businessman
1836-01-01T00:00:00+02:00,1836-06-23,1898-01-01T00:00:00+02:00,other_diseases,English businessman and politician
1836-01-01T00:00:00+02:00,1836-02-21,1889-01-01T00:00:00+02:00,cerebral_problems,Businessperson
1838-01-01T00:00:00+02:00,1838-07-08,1898-01-01T00:00:00+02:00,cancer,Union Army officer businessman philanthropist
1842-01-01T00:00:00+02:00,1842-01-01T00:00:00+02:00,1920-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1844-01-01T00:00:00+02:00,1844-10-11,1919-01-01T00:00:00+02:00,pneumonia,American businessman (food processing)
1845-01-01T00:00:00+02:00,{1845-01-01T00:00:00+02:00|1845-03-08},1905-01-01T00:00:00+02:00,other_diseases,American businessman
1847-01-01T00:00:00+02:00,1847-02-04,1929-01-01T00:00:00+02:00,suicide,American businessman
1849-01-01T00:00:00+02:00,1849-06-01,1918-01-01T00:00:00+02:00,accidents_murder_and_war,American businessman
1849-01-01T00:00:00+02:00,1849-05-27,1938-01-01T00:00:00+02:00,cardiovascular_problems,German-American businessperson
1850-01-01T00:00:00+02:00,1850-09-23,1914-01-01T00:00:00+02:00,cardiovascular_problems,Businessperson
1854-01-01T00:00:00+02:00,1854-10-18,1930-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1856-01-01T00:00:00+02:00,1856-08-12,1917-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1857-01-01T00:00:00+02:00,1857-06-29,1908-01-01T00:00:00+02:00,other_respiratory_problems,American businessman
1857-01-01T00:00:00+02:00,1857-01-05,1924-01-01T00:00:00+02:00,pneumonia,American businessman
{1858-01-01T00:00:00+02:00|1864-01-01T00:00:00+02:00},{1858-01-11|1864-01-11},1947-01-01T00:00:00+02:00,other_respiratory_problems,American businessperson and British retail magnate
{1858-01-01T00:00:00+02:00|1859-01-01T00:00:00+02:00},{1858-01-15|1859-01-15},1912-01-01T00:00:00+02:00,other_diseases,Writer historian real estate investor
1860-01-01T00:00:00+02:00,1860-01-24,1938-01-01T00:00:00+02:00,cardiovascular_problems,American businesspeople
1862-01-01T00:00:00+02:00,1862-08-10,1906-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
{1862-01-01T00:00:00+02:00|1863-01-01T00:00:00+02:00},{1862-04-18|1863-01-01T00:00:00+02:00},1909-01-01T00:00:00+02:00,other_respiratory_problems,Owner of the National League's Boston Doves
1863-01-01T00:00:00+02:00,1863-01-01T00:00:00+02:00,1930-01-01T00:00:00+02:00,other_respiratory_problems,New York restaurateur and owner of the popular Broadway restaurant-cabaret club Churchill's.
1864-01-01T00:00:00+02:00,1864-05-17,1944-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1864-01-01T00:00:00+02:00,1864-10-25,1920-01-01T00:00:00+02:00,pneumonia,American businessman
1864-01-01T00:00:00+02:00,1864-10-25,1920-01-01T00:00:00+02:00,other_diseases,American businessman
1866-01-01T00:00:00+02:00,1866-02-26,1933-01-01T00:00:00+02:00,cardiovascular_problems,American businessman and railway executive
{1866-01-01T00:00:00+02:00|1886-01-01T00:00:00+02:00},1866-01-01T00:00:00+02:00,1953-01-01T00:00:00+02:00,other_diseases,Russian businesswoman
1866-01-01T00:00:00+02:00,1866-01-01T00:00:00+02:00,1928-01-01T00:00:00+02:00,other_diseases,American businessman
1868-01-01T00:00:00+02:00,1868-05-17,1920-01-01T00:00:00+02:00,pneumonia,American businessman
1868-01-01T00:00:00+02:00,1868-05-17,1920-01-01T00:00:00+02:00,other_diseases,American businessman
1868-01-01T00:00:00+02:00,1868-05-17,1920-01-01T00:00:00+02:00,other_diseases,American businessman
1870-01-01T00:00:00+02:00,{1870-05-21|1870-10-20},1957-01-01T00:00:00+02:00,cardiovascular_problems,Foounder of Coleman Company; mayor of Wichita Kansas
1872-01-01T00:00:00+02:00,1872-04-29,1930-01-01T00:00:00+02:00,pneumonia,American businessman and horse breeder
1872-01-01T00:00:00+02:00,1872-06-09,1950-01-01T00:00:00+02:00,cerebral_problems,American businessman and polo player
1872-01-01T00:00:00+02:00,1872-01-01,1918-01-01T00:00:00+02:00,other_diseases,American businessperson
1873-01-01T00:00:00+02:00,1873-10-09,1939-01-01T00:00:00+02:00,other_diseases,American businessman
1873-01-01T00:00:00+02:00,1873-10-09,1939-01-01T00:00:00+02:00,other_diseases,American businessman
1875-01-01T00:00:00+02:00,1875-07-26,1965-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1875-01-01T00:00:00+02:00,1875-12-18,1930-01-01T00:00:00+02:00,other_diseases,American businessman
1880-01-01T00:00:00+02:00,1880-03-02,1932-01-01T00:00:00+02:00,suicide,Swedish businessperson
1882-01-01T00:00:00+02:00,1882-09-03,1955-01-01T00:00:00+02:00,cardiovascular_problems,Canadian racehorse owner
1885-01-01T00:00:00+02:00,1885-07-23,1935-01-01T00:00:00+02:00,pneumonia,Georigan noble and American businessman
1888-01-01T00:00:00+02:00,1888-12-19,1962-01-01T00:00:00+02:00,cardiovascular_problems,American racehorse owner and breeder
1888-01-01T00:00:00+02:00,1888-05-25,1942-01-01T00:00:00+02:00,other_diseases,Estonian businessman
1888-01-01T00:00:00+02:00,1888-05-06,1972-01-01T00:00:00+02:00,cerebral_problems,Lawyer and racehorse owner/breeder
1890-01-01T00:00:00+02:00,1890-04-06,1939-01-01T00:00:00+02:00,other_diseases,Dutch businessman
1890-01-01T00:00:00+02:00,1890-09-09,1980-01-01T00:00:00+02:00,cancer,United States entrepreneur and businessman
1890-01-01T00:00:00+02:00,1890-09-09,1980-01-01T00:00:00+02:00,pneumonia,United States entrepreneur and businessman
1891-01-01T00:00:00+02:00,1891-01-01T00:00:00+02:00,1962-01-01T00:00:00+02:00,accidents_murder_and_war,American businessman
1893-01-01T00:00:00+02:00,1893-09-28,1956-01-01T00:00:00+02:00,cancer,American businessman
{1893-01-01T00:00:00+02:00|1894-01-01T00:00:00+02:00},{1893-07-11|1894-07-11},{1932-01-01T00:00:00+02:00|1933-01-01T00:00:00+02:00},accidents_murder_and_war,American businessman
1894-01-01T00:00:00+02:00,1894-07-28,1969-01-01T00:00:00+02:00,cardiovascular_problems,Founder of the Hamilton Standard Company
1894-01-01T00:00:00+02:00,1894-01-01T00:00:00+02:00,1941-01-01T00:00:00+02:00,accidents_murder_and_war,Croatian businessman and philanthropist
1895-01-01T00:00:00+02:00,1895-12-05,1973-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1895-01-01T00:00:00+02:00,1895-08-25,1987-01-01T00:00:00+02:00,pneumonia,American businessman
1896-01-01T00:00:00+02:00,1896-01-01T00:00:00+02:00,1961-01-01T00:00:00+02:00,cancer,Owner of Ma Mon Luk
1897-01-01T00:00:00+02:00,1897-07-11,1973-01-01T00:00:00+02:00,cardiovascular_problems,Dermatologist businessman
1897-01-01T00:00:00+02:00,1897-06-24,1992-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
