birthYear,birthDate,deathYear,deathCause_label
1718-01-01T00:00:00+02:00,1718-11-28,1763-01-01T00:00:00+02:00,{Cancer|Suicide}
1734-01-01T00:00:00+02:00,1734-02-18,1793-01-01T00:00:00+02:00,Suicide
1742-01-01T00:00:00+02:00,1742-12-06,1806-01-01T00:00:00+02:00,Suicide
1750-01-01T00:00:00+02:00,1750-01-01T00:00:00+02:00,1804-01-01T00:00:00+02:00,Pneumonia
1752-01-01T00:00:00+02:00,1752-08-21,1794-01-01T00:00:00+02:00,Suicide
1754-01-01T00:00:00+02:00,1754-06-18,1817-01-01T00:00:00+02:00,Breast cancer
1755-01-01T00:00:00+02:00,1755-04-11,1824-01-01T00:00:00+02:00,Stroke
1762-01-01T00:00:00+02:00,{1762-04-21|1762-08-21},1841-01-01T00:00:00+02:00,Pneumonia
1785-01-01T00:00:00+02:00,1785-10-02,1842-01-01T00:00:00+02:00,Pneumonia
1792-01-01T00:00:00+02:00,1792-05-17,1860-01-01T00:00:00+02:00,Breast cancer
1793-01-01T00:00:00+02:00,1793-04-02,1860-01-01T00:00:00+02:00,Suicide
1794-01-01T00:00:00+02:00,1794-10-06,1863-01-01T00:00:00+02:00,{Pneumonia|Typhoid fever}
1796-01-01T00:00:00+02:00,1796-05-04,1859-01-01T00:00:00+02:00,Stroke
1798-01-01T00:00:00+02:00,1798-10-11,1875-01-01T00:00:00+02:00,Pneumonia
1805-01-01T00:00:00+02:00,1805-03-26,1973-01-01T00:00:00+02:00,Pneumonia
1805-01-01T00:00:00+02:00,1805-01-01T00:00:00+02:00,1881-01-01T00:00:00+02:00,Pneumonia
1805-01-01T00:00:00+02:00,1805-09-04,1883-01-01T00:00:00+02:00,Myocardial infarction
1807-01-01T00:00:00+02:00,1807-11-05,1888-01-01T00:00:00+02:00,Pneumonia
1807-01-01T00:00:00+02:00,1807-01-01T00:00:00+02:00,1883-01-01T00:00:00+02:00,Pneumonia
1807-01-01T00:00:00+02:00,{1807-01-01T00:00:00+02:00|1807-02-15},1855-01-01T00:00:00+02:00,Stroke
1807-01-01T00:00:00+02:00,1807-09-30,1873-01-01T00:00:00+02:00,Myocardial infarction
1807-01-01T00:00:00+02:00,1807-12-16,1875-01-01T00:00:00+02:00,Myocardial infarction
1809-01-01T00:00:00+02:00,1809-09-05,1866-01-01T00:00:00+02:00,Myocardial infarction
1809-01-01T00:00:00+02:00,1809-08-22,1867-01-01T00:00:00+02:00,Pneumonia
1815-01-01T00:00:00+02:00,1815-01-27,1891-01-01T00:00:00+02:00,Stroke
1816-01-01T00:00:00+02:00,1816-11-06,1901-01-01T00:00:00+02:00,Stroke
1816-01-01T00:00:00+02:00,1816-05-16,1877-01-01T00:00:00+02:00,Pneumonia
{1815-01-01T00:00:00+02:00|1816-01-01T00:00:00+02:00},1816-01-01T00:00:00+02:00,1866-01-01T00:00:00+02:00,Myocardial infarction
1817-01-01T00:00:00+02:00,1817-02-13,1875-01-01T00:00:00+02:00,Myocardial infarction
1818-01-01T00:00:00+02:00,1818-09-11,1891-01-01T00:00:00+02:00,Bronchopneumonia
1819-01-01T00:00:00+02:00,1819-12-10,1893-01-01T00:00:00+02:00,Pneumonia
1819-01-01T00:00:00+02:00,1819-09-13,1896-01-01T00:00:00+02:00,Stroke
{1820-01-01T00:00:00+02:00|1822-01-01T00:00:00+02:00},1820-01-01T00:00:00+02:00,1913-01-01T00:00:00+02:00,Pneumonia
1821-01-01T00:00:00+02:00,1821-08-26,1898-01-01T00:00:00+02:00,Myocardial infarction
1821-01-01T00:00:00+02:00,1821-11-30,1880-01-01T00:00:00+02:00,Stomach cancer
1823-01-01T00:00:00+02:00,1823-05-15,1892-01-01T00:00:00+02:00,Pneumonia
1824-01-01T00:00:00+02:00,1824-11-03,1859-01-01T00:00:00+02:00,Pneumonia
1825-01-01T00:00:00+02:00,1825-09-25,1910-01-01T00:00:00+02:00,Myocardial infarction
1826-01-01T00:00:00+02:00,1826-12-22,1897-01-01T00:00:00+02:00,Stroke
1830-01-01T00:00:00+02:00,1830-05-19,1890-01-01T00:00:00+02:00,{Pneumonia|Fatigue (medical)}
1831-01-01T00:00:00+02:00,1831-02-23,1870-01-01T00:00:00+02:00,Pneumonia
1831-01-01T00:00:00+02:00,1831-05-01,1880-01-01T00:00:00+02:00,Breast cancer
1831-01-01T00:00:00+02:00,1831-01-02,1870-01-01T00:00:00+02:00,Suicide
1832-01-01T00:00:00+02:00,1832-01-01T00:00:00+02:00,1898-01-01T00:00:00+02:00,Myocardial infarction
1834-01-01T00:00:00+02:00,1834-01-01T00:00:00+02:00,1907-01-01T00:00:00+02:00,Pneumonia
1834-01-01T00:00:00+02:00,1834-11-21,1916-01-01T00:00:00+02:00,Stroke
1835-01-01T00:00:00+02:00,1835-11-25,1919-01-01T00:00:00+02:00,Bronchopneumonia
1836-01-01T00:00:00+02:00,1836-01-01T00:00:00+02:00,1895-01-01T00:00:00+02:00,Stroke
1836-01-01T00:00:00+02:00,1836-02-21,1889-01-01T00:00:00+02:00,Stroke
