birthYear,birthDate,deathYear,deathCause_label,profession
1718-01-01T00:00:00+02:00,1718-11-28,1763-01-01T00:00:00+02:00,cancer,Swedish poet and salon hostess
1718-01-01T00:00:00+02:00,1718-11-28,1763-01-01T00:00:00+02:00,suicide,Swedish poet and salon hostess
1725-01-01T00:00:00+02:00,1725-12-11,1792-01-01T00:00:00+02:00,natural_death,Virginia politician
1769-01-01T00:00:00+02:00,1769-01-01T00:00:00+02:00,1812-01-01T00:00:00+02:00,accidents_murder_and_war,Assassin of British Prime Minister Spencer Perceval
1788-01-01T00:00:00+02:00,1788-01-01T00:00:00+02:00,1872-01-01T00:00:00+02:00,other_respiratory_problems,British diving engineer
1800-01-01T00:00:00+02:00,1800-05-09,1859-01-01T00:00:00+02:00,accidents_murder_and_war,American revolutionary abolitionist
1804-01-01T00:00:00+02:00,1804-01-01T00:00:00+02:00,1884-01-01T00:00:00+02:00,natural_death,NYPD police captain who participated in the Draft Riot of 1863.
1805-01-01T00:00:00+02:00,1805-09-04,1883-01-01T00:00:00+02:00,cardiovascular_problems,American politician
1807-01-01T00:00:00+02:00,1807-09-30,1873-01-01T00:00:00+02:00,cardiovascular_problems,NYPD police captain who organized the defense of several key buildings in Manhattan including the State Armory and the Union Steam Works.
1807-01-01T00:00:00+02:00,{1807-01-01T00:00:00+02:00|1807-01-03},1896-01-01T00:00:00+02:00,natural_death,businessman
1809-01-01T00:00:00+02:00,1809-09-05,1866-01-01T00:00:00+02:00,cardiovascular_problems,German actor
1816-01-01T00:00:00+02:00,1816-12-16,1901-01-01T00:00:00+02:00,natural_death,NYPD police inspector who participated in the Draft Riot of 1863; also involved in the Cunningham-Burdell bogus baby case and Alexander T. Stewart bodysnatching case.
{1815-01-01T00:00:00+02:00|1816-01-01T00:00:00+02:00},1816-01-01T00:00:00+02:00,1866-01-01T00:00:00+02:00,cardiovascular_problems,NYPD police inspector who commanded police during the New York Draft Riots.
1817-01-01T00:00:00+02:00,1817-02-13,1875-01-01T00:00:00+02:00,cardiovascular_problems,Daughter of John C Calhoun
1818-01-01T00:00:00+02:00,1818-10-25,1900-01-01T00:00:00+02:00,natural_death,American civil war spy
1819-01-01T00:00:00+02:00,1819-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,natural_death,Founder of the New York Irish enclave of Corcoran's Roost and Kip's Bay.
1824-01-01T00:00:00+02:00,1824-04-26,1907-01-01T00:00:00+02:00,accidents_murder_and_war,Developed the first widely used system of shorthand during the mid-19th century and is credited for introducing stenography in the U.S.; headed public crusade against New York underworld figure John Allen in 1868.
1825-01-01T00:00:00+02:00,1825-09-25,1910-01-01T00:00:00+02:00,cardiovascular_problems,American banker
1828-01-01T00:00:00+02:00,1828-04-13,1906-01-01T00:00:00+02:00,natural_death,British feminist
1830-01-01T00:00:00+02:00,1830-05-19,1890-01-01T00:00:00+02:00,pneumonia,Police officer
1830-01-01T00:00:00+02:00,1830-05-19,1890-01-01T00:00:00+02:00,accidents_murder_and_war,Police officer
1832-01-01T00:00:00+02:00,1832-01-01T00:00:00+02:00,1898-01-01T00:00:00+02:00,cardiovascular_problems,American banker
1836-01-01T00:00:00+02:00,1836-01-01T00:00:00+02:00,1905-01-01T00:00:00+02:00,cardiovascular_problems,New York burglar bank robber and underworld figure; he was a member of the Leslie Gang.
1836-01-01T00:00:00+02:00,1836-06-10,1900-01-01T00:00:00+02:00,cardiovascular_problems,American surgeon
1839-01-01T00:00:00+02:00,1839-09-09,1915-01-01T00:00:00+02:00,cardiovascular_problems,American philanthropist schoolteacher
1839-01-01T00:00:00+02:00,1839-07-09,1917-01-01T00:00:00+02:00,natural_death,NYPD police inspector
1841-01-01T00:00:00+02:00,1841-12-07,1910-01-01T00:00:00+02:00,other_respiratory_problems,Industrialist
1841-01-01T00:00:00+02:00,1841-11-18,1888-01-01T00:00:00+02:00,cardiovascular_problems,NYPD police captain responsible for the capture of a number of high-profile criminals most notably procuress Jane the Grabber in 1875.
1842-01-01T00:00:00+02:00,1842-01-01T00:00:00+02:00,1920-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1847-01-01T00:00:00+02:00,1847-10-10,1902-01-01T00:00:00+02:00,cardiovascular_problems,American philanthropist
