birthYear,birthDate,deathYear,deathCause_label,profession
0626-01-01T00:00:00+02:00,{0626-01-01T00:00:00+02:00|0626-01-10},0680-01-01T00:00:00+02:00,{Shahid|Decapitation},Muslim martyr
0659-01-01T00:00:00+02:00,{0659-01-01T00:00:00+02:00|0659-01-04},{0712-01-01T00:00:00+02:00|0713-01-01T00:00:00+02:00},Poison,Shi'a Imam
0676-01-01T00:00:00+02:00,0676-01-01T00:00:00+02:00,{0733-01-01T00:00:00+02:00|0743-01-01T00:00:00+02:00},Poison,Twelver imam
0682-01-01T00:00:00+02:00,{0682-01-01T00:00:00+02:00|0682-07-20},0767-01-01T00:00:00+02:00,Smallpox,Japanese Buddhist monk
0702-01-01T00:00:00+02:00,{0702-01-01T00:00:00+02:00|0702-04-23},0765-01-01T00:00:00+02:00,Poison,Muslim religious person
{0745-01-01T00:00:00+02:00|0746-01-01T00:00:00+02:00},{0745-11-10|0746-01-01T00:00:00+02:00},0799-01-01T00:00:00+02:00,Poison,Seventh of the Twelve Imams and regarded by Sunnis as a renowned scholar
{0765-01-01T00:00:00+02:00|0766-01-01T00:00:00+02:00},{0765-01-01T00:00:00+02:00|0766-01-01},{0818-01-01T00:00:00+02:00|0819-01-01T00:00:00+02:00},Poison,Shia Imam
0811-01-01T00:00:00+02:00,{0811-01-01T00:00:00+02:00|0811-04-12},0835-01-01T00:00:00+02:00,Poison,Imam
{0828-01-01T00:00:00+02:00|0829-01-01T00:00:00+02:00},{0828-01-01T00:00:00+02:00|0829-09-08},0868-01-01T00:00:00+02:00,Poison,Imam
0846-01-01T00:00:00+02:00,{0846-01-01T00:00:00+02:00|0846-12-06},0874-01-01T00:00:00+02:00,Poison,Eleventh of the Twelve Imams
