birthYear,birthDate,deathYear,deathCause_label,profession
1900-01-01T00:00:00+02:00,1900-04-11,1929-01-01T00:00:00+02:00,accidents_murder_and_war,American aviator
1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1929-01-01T00:00:00+02:00,accidents_murder_and_war,American mobster
1900-01-01T00:00:00+02:00,1900-05-07,1964-01-01T00:00:00+02:00,accidents_murder_and_war,Farmer from Ascutney Vermont who refused to leave his home during the construction of 1-91
1900-01-01T00:00:00+02:00,1900-05-07,1964-01-01T00:00:00+02:00,suicide,Farmer from Ascutney Vermont who refused to leave his home during the construction of 1-91
1900-01-01T00:00:00+02:00,1900-02-17,1998-01-01T00:00:00+02:00,natural_death,American actor
1900-01-01T00:00:00+02:00,1900-12-12,1960-01-01T00:00:00+02:00,cardiovascular_problems,American actor
1900-01-01T00:00:00+02:00,1900-07-27,1959-01-01T00:00:00+02:00,cardiovascular_problems,Film director
1900-01-01T00:00:00+02:00,1900-01-14,1966-01-01T00:00:00+02:00,cardiovascular_problems,British actor
1901-01-01T00:00:00+02:00,1901-01-17,1947-01-01T00:00:00+02:00,cardiovascular_problems,Actor
1901-01-01T00:00:00+02:00,1901-09-26,1961-01-01T00:00:00+02:00,cardiovascular_problems,American actor
1901-01-01T00:00:00+02:00,1901-03-25,1970-01-01T00:00:00+02:00,cardiovascular_problems,American radio film and television actor
1901-01-01T00:00:00+02:00,1901-11-17,1982-01-01T00:00:00+02:00,cardiovascular_problems,American actor drama teacher acting coach theorist
1901-01-01T00:00:00+02:00,1901-11-28,1975-01-01T00:00:00+02:00,cardiovascular_problems,American actor
1901-01-01T00:00:00+02:00,1901-10-04,1974-01-01T00:00:00+02:00,cardiovascular_problems,Actor
1901-01-01T00:00:00+02:00,1901-03-28,1995-01-01T00:00:00+02:00,cardiovascular_problems,real estate developer philanthropist
1902-01-01T00:00:00+02:00,1902-09-17,1994-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1902-01-01T00:00:00+02:00,1902-03-08,1962-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1902-01-01T00:00:00+02:00,1902-07-14,1961-01-01T00:00:00+02:00,cardiovascular_problems,Actor director
1902-01-01T00:00:00+02:00,1902-10-18,1972-01-01T00:00:00+02:00,cardiovascular_problems,American actress
1902-01-01T00:00:00+02:00,1902-05-30,1985-01-01T00:00:00+02:00,pneumonia,African-American actor
1902-01-01T00:00:00+02:00,1902-05-30,1985-01-01T00:00:00+02:00,cardiovascular_problems,African-American actor
1902-01-01T00:00:00+02:00,1902-12-09,1985-01-01T00:00:00+02:00,cardiovascular_problems,Actress schoolteacher
1902-01-01T00:00:00+02:00,1902-01-12,1971-01-01T00:00:00+02:00,cardiovascular_problems,American singer and comedian
1902-01-01T00:00:00+02:00,1902-12-25,1969-01-01T00:00:00+02:00,other_respiratory_problems,Actor playwright screenwriter
1902-01-01T00:00:00+02:00,1902-02-14,1976-01-01T00:00:00+02:00,cardiovascular_problems,American actor
1902-01-01T00:00:00+02:00,1902-09-01,1976-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1902-01-01T00:00:00+02:00,1902-01-31,1968-01-01T00:00:00+02:00,pneumonia,Actress
1902-01-01T00:00:00+02:00,1902-05-10,1965-01-01T00:00:00+02:00,cardiovascular_problems,Film producer
1902-01-01T00:00:00+02:00,1902-07-22,1940-01-01T00:00:00+02:00,cardiovascular_problems,American make-up artist
1902-01-01T00:00:00+02:00,1902-04-02,1982-01-01T00:00:00+02:00,other_respiratory_problems,Actress
1902-01-01T00:00:00+02:00,1902-12-14,1989-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1902-01-01T00:00:00+02:00,1902-10-20,1964-01-01T00:00:00+02:00,cardiovascular_problems,Actor
1903-01-01T00:00:00+02:00,1903-09-29,1989-01-01T00:00:00+02:00,cardiovascular_problems,American magazine editor
1903-01-01T00:00:00+02:00,1903-06-03,1956-01-01T00:00:00+02:00,cardiovascular_problems,Actor
1903-01-01T00:00:00+02:00,1903-02-27,1980-01-01T00:00:00+02:00,cardiovascular_problems,Actor
1903-01-01T00:00:00+02:00,1903-02-14,1967-01-01T00:00:00+02:00,cardiovascular_problems,American actor
1903-01-01T00:00:00+02:00,1903-09-29,1973-01-01T00:00:00+02:00,cardiovascular_problems,American actor
1903-01-01T00:00:00+02:00,1903-11-01,1973-01-01T00:00:00+02:00,cardiovascular_problems,Northern Irish actor
1903-01-01T00:00:00+02:00,1903-04-09,1960-01-01T00:00:00+02:00,cardiovascular_problems,Actor
1904-01-01T00:00:00+02:00,1904-03-01,1973-01-01T00:00:00+02:00,cardiovascular_problems,American actor and dancer
1904-01-01T00:00:00+02:00,1904-10-29,1970-01-01T00:00:00+02:00,cardiovascular_problems,British make-up artist
1904-01-01T00:00:00+02:00,1904-12-09,1988-01-01T00:00:00+02:00,other_respiratory_problems,Actor
1904-01-01T00:00:00+02:00,1904-01-01T00:00:00+02:00,1970-01-01T00:00:00+02:00,cardiovascular_problems,Pakistani architect
1904-01-01T00:00:00+02:00,1904-08-18,1996-01-01T00:00:00+02:00,cardiovascular_problems,American businessman
1905-01-01T00:00:00+02:00,1905-03-21,1985-01-01T00:00:00+02:00,cardiovascular_problems,American musician
{1905-01-01T00:00:00+02:00|1906-01-01T00:00:00+02:00},{1905-07-29|1906-07-29},1935-01-01T00:00:00+02:00,accidents_murder_and_war,American actress
1905-01-01T00:00:00+02:00,1905-06-09,2009-01-01T00:00:00+02:00,natural_death,centenarian
1905-01-01T00:00:00+02:00,1905-05-31,1987-01-01T00:00:00+02:00,cardiovascular_problems,Actress
1905-01-01T00:00:00+02:00,1905-08-29,1941-01-01T00:00:00+02:00,accidents_murder_and_war,Finnish pacifist
1905-01-01T00:00:00+02:00,1905-12-05,1986-01-01T00:00:00+02:00,cancer,Director producer actor
1905-01-01T00:00:00+02:00,1905-12-05,1986-01-01T00:00:00+02:00,cerebral_problems,Director producer actor
