birthYear,birthDate,deathYear,deathCause_label,profession
1415-01-01T00:00:00+02:00,1415-01-01T00:00:00+02:00,1480-01-01T00:00:00+02:00,accidents_murder_and_war,Scottish clan chief
1432-01-01T00:00:00+02:00,1432-01-01T00:00:00+02:00,1494-01-01T00:00:00+02:00,cerebral_problems,Hungarian general
1517-01-01T00:00:00+02:00,1517-01-01T00:00:00+02:00,1579-01-01T00:00:00+02:00,accidents_murder_and_war,German civil servant
1532-01-01T00:00:00+02:00,1532-06-07,1560-01-01T00:00:00+02:00,other_diseases,wife of Robert Dudley 1st Earl of Leicester
1535-01-01T00:00:00+02:00,1535-01-01T00:00:00+02:00,{1553-01-01T00:00:00+02:00|1554-01-01T00:00:00+02:00},accidents_murder_and_war,English royal consort (disputed)
{1550-01-01T00:00:00+02:00|1555-01-01T00:00:00+02:00},1550-01-01T00:00:00+02:00,1601-01-01T00:00:00+02:00,accidents_murder_and_war,English military officer and rebel
1582-01-01T00:00:00+02:00,1582-01-01T00:00:00+02:00,1624-01-01T00:00:00+02:00,other_diseases,Dutch admiral and explorer
1582-01-01T00:00:00+02:00,1582-01-01T00:00:00+02:00,1624-01-01T00:00:00+02:00,other_diseases,Dutch admiral and explorer
1592-01-01T00:00:00+02:00,1592-04-11,1632-01-01T00:00:00+02:00,other_diseases,Member of Parliament Statesman Vice-Admiral of Devon
1690-01-01T00:00:00+02:00,1690-01-01T00:00:00+02:00,1735-01-01T00:00:00+02:00,accidents_murder_and_war,American politician
1704-01-01T00:00:00+02:00,1704-02-28,1730-01-01T00:00:00+02:00,other_diseases,Prussian army officer
1725-01-01T00:00:00+02:00,1725-12-11,1792-01-01T00:00:00+02:00,natural_death,Virginia politician
1729-01-01T00:00:00+02:00,1729-06-18,1818-01-01T00:00:00+02:00,other_diseases,French military officer
1734-01-01T00:00:00+02:00,1734-02-18,1793-01-01T00:00:00+02:00,suicide,French viscount and politician
1753-01-01T00:00:00+02:00,1753-05-31,1793-01-01T00:00:00+02:00,accidents_murder_and_war,French politician
1764-01-01T00:00:00+02:00,1764-01-01T00:00:00+02:00,1820-01-01T00:00:00+02:00,other_diseases,Canadian politician
1764-01-01T00:00:00+02:00,1764-02-01,1805-01-01T00:00:00+02:00,accidents_murder_and_war,Royal Navy officer
1769-01-01T00:00:00+02:00,1769-01-01T00:00:00+02:00,1812-01-01T00:00:00+02:00,accidents_murder_and_war,Assassin of British Prime Minister Spencer Perceval
1770-01-01T00:00:00+02:00,1770-01-01T00:00:00+02:00,1804-01-01T00:00:00+02:00,other_diseases,British consul-general in Naples
{1772-01-01T00:00:00+02:00|1774-01-01T00:00:00+02:00},{1772-05-22|1774-08-14},1833-01-01T00:00:00+02:00,other_diseases,Indian activist
1782-01-01T00:00:00+02:00,1782-03-20,1835-01-01T00:00:00+02:00,other_diseases,British military officer and orientalist
1784-01-01T00:00:00+02:00,1784-06-29,1836-01-01T00:00:00+02:00,other_diseases,American diplomat
1785-01-01T00:00:00+02:00,1785-10-02,1842-01-01T00:00:00+02:00,pneumonia,Texas politician
