birthYear,birthDate,deathYear,deathCause_label,profession
1581-01-01T00:00:00+02:00,1581-01-01T00:00:00+02:00,1613-01-01T00:00:00+02:00,accidents_murder_and_war,English poet
1647-01-01T00:00:00+02:00,1647-04-01,1680-01-01T00:00:00+02:00,other_diseases,English noble poet and libertine
1718-01-01T00:00:00+02:00,1718-11-28,1763-01-01T00:00:00+02:00,cancer,Swedish poet and salon hostess
1718-01-01T00:00:00+02:00,1718-11-28,1763-01-01T00:00:00+02:00,suicide,Swedish poet and salon hostess
1749-01-01T00:00:00+02:00,1749-06-19,1796-01-01T00:00:00+02:00,other_diseases,French actor and writer
1754-01-01T00:00:00+02:00,1754-06-18,1817-01-01T00:00:00+02:00,cancer,Swedish writer
1775-01-01T00:00:00+02:00,1775-02-10,1834-01-01T00:00:00+02:00,other_diseases,English essayist
1804-01-01T00:00:00+02:00,1804-10-03,1869-01-01T00:00:00+02:00,cerebral_problems,French spiritual writer
1807-01-01T00:00:00+02:00,1807-04-20,1841-01-01T00:00:00+02:00,other_diseases,author
1839-01-01T00:00:00+02:00,1839-01-04,1860-01-01T00:00:00+02:00,other_diseases,Brazilian poet novelist and playwright
1841-01-01T00:00:00+02:00,1841-08-09,1928-01-01T00:00:00+02:00,other_diseases,Australian educator journalist and writer
1850-01-01T00:00:00+02:00,1850-01-01T00:00:00+02:00,1895-01-01T00:00:00+02:00,other_diseases,Indian poet
1851-01-01T00:00:00+02:00,1851-11-16,1907-01-01T00:00:00+02:00,cardiovascular_problems,Geologist and children's writer
1853-01-01T00:00:00+02:00,1853-11-01,1912-01-01T00:00:00+02:00,other_diseases,Writer
{1858-01-01T00:00:00+02:00|1859-01-01T00:00:00+02:00},{1858-01-15|1859-01-15},1912-01-01T00:00:00+02:00,other_diseases,Writer historian real estate investor
1860-01-01T00:00:00+02:00,1860-01-17,1952-01-01T00:00:00+02:00,cardiovascular_problems,Actor director screenwriter
1864-01-01T00:00:00+02:00,1864-05-28,1930-01-01T00:00:00+02:00,suicide,French adventurer and writer
1865-01-01T00:00:00+02:00,1865-04-08,1932-01-01T00:00:00+02:00,cerebral_problems,Writer teacher
1866-01-01T00:00:00+02:00,1866-02-12,1940-01-01T00:00:00+02:00,cardiovascular_problems,Slovak writer
1866-01-01T00:00:00+02:00,1866-09-16,1934-01-01T00:00:00+02:00,cardiovascular_problems,American sportswriter
1868-01-01T00:00:00+02:00,1868-08-16,1955-01-01T00:00:00+02:00,other_diseases,Bodybuilder author magazine publisher
1870-01-01T00:00:00+02:00,1870-11-12,1952-01-01T00:00:00+02:00,cardiovascular_problems,Actor producer screenwriter
1871-01-01T00:00:00+02:00,1871-11-18,1932-01-01T00:00:00+02:00,cardiovascular_problems,Spanish composer writer and impresario
1871-01-01T00:00:00+02:00,1871-11-18,1932-01-01T00:00:00+02:00,other_respiratory_problems,Spanish composer writer and impresario
1872-01-01T00:00:00+02:00,1872-06-27,1906-01-01T00:00:00+02:00,other_diseases,American writer
1874-01-01T00:00:00+02:00,1874-12-21,1941-01-01T00:00:00+02:00,accidents_murder_and_war,Polish critic poet and translator
1875-01-01T00:00:00+02:00,1875-11-08,1907-01-01T00:00:00+02:00,accidents_murder_and_war,Chinese poet revolutionary
1878-01-01T00:00:00+02:00,1878-04-28,1954-01-01T00:00:00+02:00,cardiovascular_problems,Actor director screenwriter
1879-01-01T00:00:00+02:00,{1879-05-22|1879-06-03},1945-01-01T00:00:00+02:00,other_diseases,Actress screenwriter and producer
1880-01-01T00:00:00+02:00,1880-02-20,1923-01-01T00:00:00+02:00,accidents_murder_and_war,Novelist poet
{1880-01-01T00:00:00+02:00|1881-01-01T00:00:00+02:00},{1880-01-01T00:00:00+02:00|1881-12-14},1942-01-01T00:00:00+02:00,cerebral_problems,American actor screenwriter and film director
1881-01-01T00:00:00+02:00,1881-11-26,1934-01-01T00:00:00+02:00,suicide,Silent film and stage actor director screenwriter
1883-01-01T00:00:00+02:00,1883-05-23,1939-01-01T00:00:00+02:00,cardiovascular_problems,Actor producer screenwriter director
1883-01-01T00:00:00+02:00,1883-06-20,1971-01-01T00:00:00+02:00,other_diseases,Silent film actress screenwriter producer
{1884-01-01T00:00:00+02:00|1885-01-01T00:00:00+02:00},{1884-11-15|1885-11-15},{1936-01-01T00:00:00+02:00|1937-01-01T00:00:00+02:00},pneumonia,{Screenwriter|Scenario writer|Story writer|Story writerScenario writerScreenwriter}
1885-01-01T00:00:00+02:00,1885-10-10,1954-01-01T00:00:00+02:00,cardiovascular_problems,Sportswriter and author
1886-01-01T00:00:00+02:00,1886-07-22,1915-01-01T00:00:00+02:00,accidents_murder_and_war,Armenian writer
1887-01-01T00:00:00+02:00,1887-08-15,1957-01-01T00:00:00+02:00,cardiovascular_problems,American historian and author
1887-01-01T00:00:00+02:00,1887-10-22,1920-01-01T00:00:00+02:00,other_diseases,American journalist poet and communist activist
1888-01-01T00:00:00+02:00,1888-09-18,1938-01-01T00:00:00+02:00,pneumonia,Canadian writer
1888-01-01T00:00:00+02:00,1888-03-05,1966-01-01T00:00:00+02:00,cerebral_problems,American screenwriter and journalist
1888-01-01T00:00:00+02:00,1888-08-03,1923-01-01T00:00:00+02:00,pneumonia,Actor film director screenwriter
1889-01-01T00:00:00+02:00,1889-11-07,1953-01-01T00:00:00+02:00,cardiovascular_problems,Film director Screenwriter
1889-01-01T00:00:00+02:00,1889-07-05,1963-01-01T00:00:00+02:00,cardiovascular_problems,French poet novelist dramatist designer boxing manager and filmmaker
1890-01-01T00:00:00+02:00,1890-03-14,1949-01-01T00:00:00+02:00,cerebral_problems,Film director screenwriter and actor
1892-01-01T00:00:00+02:00,1892-09-17,1977-01-01T00:00:00+02:00,cardiovascular_problems,American writer
1893-01-01T00:00:00+02:00,1893-10-20,1940-01-01T00:00:00+02:00,cardiovascular_problems,Actor comedian director writer
1893-01-01T00:00:00+02:00,1893-12-13,1917-01-01T00:00:00+02:00,other_diseases,American writer
1893-01-01T00:00:00+02:00,1893-07-17,1938-01-01T00:00:00+02:00,other_diseases,poet novelist and screenwriter
1894-01-01T00:00:00+02:00,1894-06-08,1932-01-01T00:00:00+02:00,accidents_murder_and_war,screenwriter
1894-01-01T00:00:00+02:00,1894-09-23,1968-01-01T00:00:00+02:00,pneumonia,American film director producer adn screenwriter
1895-01-01T00:00:00+02:00,1895-10-03,1925-01-01T00:00:00+02:00,accidents_murder_and_war,russian writer
1896-01-01T00:00:00+02:00,1896-07-28,1926-01-01T00:00:00+02:00,other_diseases,Actress screenwriter
1896-01-01T00:00:00+02:00,1896-07-28,1926-01-01T00:00:00+02:00,other_diseases,Actress screenwriter
1896-01-01T00:00:00+02:00,1896-09-04,1948-01-01T00:00:00+02:00,other_diseases,French actor and writer
1896-01-01T00:00:00+02:00,1896-12-31,1987-01-01T00:00:00+02:00,pneumonia,Actress author singer
1897-01-01T00:00:00+02:00,1897-08-12,1938-01-01T00:00:00+02:00,cardiovascular_problems,screenwriter
1897-01-01T00:00:00+02:00,1897-01-03,1961-01-01T00:00:00+02:00,cancer,Actress producer screenwriter
1897-01-01T00:00:00+02:00,1897-11-22,1940-01-01T00:00:00+02:00,suicide,Screenwriter novelist film director
1898-01-01T00:00:00+02:00,1898-03-01,1935-01-01T00:00:00+02:00,other_diseases,American writer
1901-01-01T00:00:00+02:00,1901-09-28,1974-01-01T00:00:00+02:00,cancer,American entertainment writer and television host
1901-01-01T00:00:00+02:00,1901-02-05,1978-01-01T00:00:00+02:00,cerebral_problems,Screenwriter
1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,{1991-01-01T00:00:00+02:00|1999-01-01T00:00:00+02:00},other_diseases,Author politician
1902-01-01T00:00:00+02:00,1902-04-08,1989-01-01T00:00:00+02:00,cardiovascular_problems,Actress screenwriter real estate agent
1902-01-01T00:00:00+02:00,1902-12-25,1969-01-01T00:00:00+02:00,other_respiratory_problems,Actor playwright screenwriter
1904-01-01T00:00:00+02:00,{1904-01-01T00:00:00+02:00|1904-02-05},1992-01-01T00:00:00+02:00,cancer,American songwriter
1905-01-01T00:00:00+02:00,1905-03-10,1985-01-01T00:00:00+02:00,cardiovascular_problems,Actor writer
1906-01-01T00:00:00+02:00,1906-11-16,1973-01-01T00:00:00+02:00,cancer,French convict and author
1906-01-01T00:00:00+02:00,1906-08-05,1987-01-01T00:00:00+02:00,other_respiratory_problems,American film director screenwriter and actor
1906-01-01T00:00:00+02:00,1906-05-03,1987-01-01T00:00:00+02:00,other_respiratory_problems,Actress author
1906-01-01T00:00:00+02:00,1906-07-18,1963-01-01T00:00:00+02:00,cancer,Playwright screenwriter director actor
1907-01-01T00:00:00+02:00,1907-11-17,1985-01-01T00:00:00+02:00,cardiovascular_problems,Author and Occultist
1907-01-01T00:00:00+02:00,1907-04-19,1994-01-01T00:00:00+02:00,cancer,Actress dancer author dog breeder
1909-01-01T00:00:00+02:00,1909-01-20,1994-01-01T00:00:00+02:00,cardiovascular_problems,Indian writer
1909-01-01T00:00:00+02:00,1909-12-01,1958-01-01T00:00:00+02:00,other_diseases,Czech Writer
1909-01-01T00:00:00+02:00,1909-10-10,1988-01-01T00:00:00+02:00,cancer,Actress screenwriter
1910-01-01T00:00:00+02:00,1910-09-19,1988-01-01T00:00:00+02:00,cancer,American screenwriter novelist playwright and poet
1910-01-01T00:00:00+02:00,1910-03-23,1998-01-01T00:00:00+02:00,cerebral_problems,Japanese film director screenwriter producer and editor
